,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,,,,,,
#,OrganisedCrime,Organized Crime,"Large organized gangs of serious criminals are now targeting our country. We do not have the resources to deal with them, and they are causing serious problems including higher levels of street crime and violent crime, as well as supplying drugs and guns.",LAWANDORDER,sit_icons_organisedcrime.dds,The serious crime dept. has reported that we now have a major problem with organized crime.,"The police have now cracked the problem with organized crime, and the crime lords are now behind bars.",0,0.6,0.4,0,0,"_default_,0.5",,"StreetGangs,0+(0.2*x),4","LegaliseProstitution,-0.05-(0.2*x)","Gambling,-0.05-(0.2*x)","DrugCrimeRate,0+(1*x)","IntelligenceServices,0.05-(0.1*x)","PhoneTapping,0.05-(0.2*x)","ArmedPolice,0.05-(0.05*x)","PoliceDrones,-0.05-(0.15*x)",#,"ViolentCrimeRate,0+(0.3*x)","Conservatives,0-(0.15*x)",,,,,,
#,PetrolProtests,Petrol Protests,"High levels of fuel tax have led to a small number of highly vocal citizens staging street protests and demonstrations at both gas stations and the depots from which fuel tankers are dispatched. This is resulting in queues at some gas stations and total closures at others.  Business will suffer badly if drivers cannot fill their tanks, and motorists are not surprisingly outraged.",TAX,sit_icons_petrolprotests.dds,Protesters have gathered outside petrol depots to protest about petrol prices. They are interrupting the supply of petrol to petrol stations.,"The petrol protestors have stopped their protests and the tankers are travelling freely again. This will be both good news for the economy, and it will cheer up everyone who was inconvenienced.",0,0.6,0.4,0,0,,,"PetrolTax,0+(0.8*x),1","ExtremePoverty,0+(0.1*x)","Curfews,0-(0.4*x)",,"OilPrice,-0.1+(0.2*x)",#,"GDP,-0.1-(0.2*x)","_All_,-0.1+(0*x)","Motorist,-0.2-(0.2*x)","CarUsage,-0.26-(0*x)",,,,,,,
#,Pollution,Pollution,"Without enough measures in place to regulate what gets pumped into the air, we have ended up with high levels of pollution. This affects our health levels and quality of life. Not surprisingly environmentalists are especially upset.",WELFARE,sit_icons_pollution.dds,We have a serious pollution problem. This could lead to health problems.,"Environmental experts tell us that the country's pollution problem is now under control, our citizens no longer need to wear facemasks when cycling to work!",0,0.6,0.4,0,0,,,"Environment,1.0-(1.0*x)",#,"Environmentalist,0-(0.2*x)","Environmentalist_freq,0.1+(0.1*x)",,,,,,,,,,,,,
#,PrisonsFull,Prison Overcrowding,Prison Overcrowding,LAWANDORDER,icons_prisons.dds,Prison Overcrowding starts,Prison Overcrowding stops,0,0.6,0.4,0,0,,,,#,"ViolentCrimeRate,0+(0.1*x)","RacialTension,0+(0.1*x)","Liberal,0-(0.1*x)","Conservatives,0-(0.1*x)",,,,,,,,,,,
#,RaceRiots,Race Riots,"Our streets are awash with violent clashes between different ethnic groups, meaning many of our citizens are afraid to go out at night. This also looks terrible to overseas visitors or businesses considering setting up in our country.",LAWANDORDER,sit_icons_raceriots.dds,"Race riots have broken out on our streets, a symptom of the serious deterioration of race relations.",The problem with race riots has now been bought under control.,0,0.6,0.4,0,0,,,#,,,,,,,,,,,,,,,,
#,Rail Strike,Rail Strike,"Rail employees are not turning up to work. They are asking for greater investment in the rail network. Our rail system is currently paralyzed which is causing total mayhem for business, and huge resentment amongst commuters.",TRANSPORT,sit_icons_railstrike.dds,A major rail strike is now underway.,"The rail strike is over and the trains are moving again at last! Obviously commuters will be relieved, and so will businesses who ship freight by train, which is good news for the economy.",0,0.6,0.4,0,0,"_default_,1.0",,"_prereq_,RailSubsidies","RailSubsidies,0-(1.0*x),8","_LowIncome,0-(0.2*x)","LabourLaws,-0.3+(0.3*x)","Unemployment,0-(x^7)",#,"Commuter,-0.4*(RailUsage*x)","GDP,-0.16*(RailUsage*x)",,,,,,,,,
#,Rareearthcrisis,Rare Earth Crisis,Rare earth metals are necessary for a wide range of high tech products. Prices for these elements have risen significantly leading to supply bottlenecks and black markets. This crisis has a significant impact on productivity and our economy.,ECONOMY,sit_icons_Rareearthcrisis.dds,Economists warn you that the increased dependence on rare earth metals is leading to shortages in supply,"With the supply of rare earths secured, prices for these precious materials have stabilized.",0,0.6,0.4,0,0,"_default_,0.1",,"_year,0+(0.02*x)","Technology,0.8*(x^3.7),6","ForeignRelations,-0.2*(x^0.4)","GreenElectronicsInitiative,-0.05-(0.15*x),4","Recycling,0-(0.1*x),4",#,"WorkerProductivity,-0.05-(0.05*x),2","GDP,0-(0.08*x)","TechnologicalAdvantage,0-(0.12*x)","Uncompetitive Economy,0+(0.10*x)",,,,,,,
#,Realestatebubble,Real Estate Bubble,"A combination of limited housing supply and rising population, together with property speculation has resulted in huge increases in housing costs. Current prices have made housing unaffordable for the young and the poor.",ECONOMY,sit_icons_realEstagePricesTooHigh.dds,Real estate speculation is booming! Housing prices in urban areas are skyrocketing and there is no limit in sight.,Real estate prices have returned to levels that allow the general population to afford suitable homes for their families.,0,0.6,0.4,0,0,"_default_,0.2",,"StateHousing,0-(0.3*x),2",,"RentControls,0.0-(0.17*x)","Capitalist_perc,0.0+(0.08*x)","Immigration,0+(0.2*x)","_year,0+(0.005*x)","GDP,0+(0.3*x)","MortgageTaxRelief,0-(0.12*x)",#,"_LowIncome,0-(0.1*x)","_MiddleIncome,0-(0.08*x)","_HighIncome,0+(0.12*x),2","Homelessness,0.1+(0.15*x),2","Young,0-(0.1*x)","Poor,0-(0.1*x)",,
#,SkillsShortage,Skills Shortage,Businesses tell us that they simply can not find enough skilled and trained people to employ. The modern economy is increasingly skills-based and our citizens just aren't educated enough to take their place in the modern workforce. This is going to have a negative impact on the economy.,PUBLICSERVICES,sit_icons_skillsshortage.dds,Business leaders have complained that we simply do not have enough highly skilled workers to fill job vacancies.,Business leaders inform you that there is no longer a noticeable skills shortage in the economy. Our citizens are now sufficiently educated and trained to provide for the economies needs.,0,0.6,0.4,0,0,"_default_,0.75","_NewColony,0-(x^10)","Education,0-(0.4*x)","AdultEducationSubsidies,0-(0.2*x),8","UniversityGrants,0-(0.2*x)","Immigration,0-(0.2*x)","Technology,0.25*(x^2)",#,"GDP,0-(0.1*x)",,,,,,,,,,
#,StreetGangs,Street Gangs,"Street gangs are an ever more common sight on the streets of our cities. Although not all street gangs are involved in violence, some are, and there must be something that our teenage citizens could be doing rather than loitering on street corners?",LAWANDORDER,sit_icons_streetgangs.dds,"Police chiefs report a significant new problem in terms of street gangs, often related to violent crime.","At a recent press conference, our Chief of Police was happy to report that the earlier problem of 'street gangs' is now under control, which means less crime, and happier citizens.",0,0.6,0.4,0,0,,"_NewColony,0-(x^4)","ExtremePoverty,0+(0.5*x),4","Unemployment,0.01+(0.2*x),2","Homelessness,0+(0.2*x),2","RacialTension,0.01+(0.4*x),2","CommunityPolicing,-0.01-(0.2*x),4","PoliceForce,-0.01-(0.1*x),4","PoliceDrones,-0.1-(0.1*x),2","ArmedPolice,0.2-(0.2*x),2","CCTVCameras,-0.05-(0.05*x),2",#,"ViolentCrimeRate,0+(0.2*x)","EthnicMinorities,0-(0.1*x)","Conservatives,0-(0.1*x)","_global_liberalism,0-(0.1*x)",,,
#,TaxEvasion,Tax Evasion,"There is always a small section of society determined to avoid paying their fair share of taxes, but tax evasion has turned into an epidemic, with inspectors unable to cope with the number of scams and evaders.",TAX,sit_icons_taxevasion.dds,Tax inspectors report a surge in tax evasion with large sums of money going unpaid.,The level of tax evasion in the economy has declined back to acceptable levels. This is great news because we will take more money in from taxes without the negative political effects of raising the levels.,0,0.6,0.4,0,0,"_default_,0.3",,"CorporationTax,0.3*(x^2),4","IncomeTax,0.5*(x^2),4","CapitalGainsTax,0.12*(x^2),4","FlatTax,0.6*(x^4),4","SalesTax,0.22*(x^2),4",#,,,,,,,,,,,
#,TeacherShortage,Teacher Shortage,We just don't have enough people wanting to work in our schools. We probably need to invest more money if we are going to be able to keep classroom sizes small and ensure our children get a decent education. Right now children just aren't learning the way they should.,PUBLICSERVICES,sit_icons_teachershortage.dds,Head Teachers complain to you that there simply aren't enough teachers to educate our younger citizens.,"The earlier problems with a shortage of teachers have now eased considerably. Children no longer have to learn everything from cartoons and comics, which will mean higher literacy rates and happier parents.",0,0.6,0.4,0,0,"_default_,1.0",,"_prereq_,StateSchools","StateSchools,0-(0.51*x)","Immigration,0-(0.49*x)","PrivateSchools,0-(0.51*x)","Unemployment,0-(0.1*x)","UniversityGrants,0+(0.05*x)",#,"Education,-0.1-(0.1*x)","Parents,-0.1-(0.3*x)",,,,,,,,
#,TeachersStrike,Teachers Strike,"The teachers union has called for a national strike, which means our young citizens aren't receiving an education right now. Naturally, parents are outraged and businesses will be concerned that the future workforce isn't getting a real education.",PUBLICSERVICES,sit_icons_teachersstrike.dds,Teachers and other education workers have walked out on strike in protest against the government.,Great News! The teachers strike has been called off and the children can now return to school. Don't expect them to be happy about it though…,0,0.6,0.4,0,0,"_default_,0.88",,"_prereq_,StateSchools","Unemployment,0-(x^2),8","StateSchools,0-(0.66*x)","UniversityGrants,0-(0.14*x)","LabourLaws,-0.2+(0.4*x)","PrivateSchools,0-(0.73*x)","TradeUnionist_perc,0+(0.15*x)","Wages,0.1-(0.1*x),2",#,"Parents,0-(0.4*x)","Education,-0.05-(0.05*x)",,,,,,
#,TechnologicalAdvantage,Technological Advantage,It looks like our country is leading the world in a number of major areas of science and technology. This is great news for our economy as it means we have a major advantage over our competitors.,PUBLICSERVICES,sit_icons_technologicaladvantage.dds,Technology experts inform you that this country has a significant technological advantage over its less tech-savvy competitors.,"Recent reports show that our country has lost its technological 'edge', and we are now outclassed in technological terms by other countries. This is likely to cause a negative effect on our GDP.",1,0.6,0.4,0,0,"_default_,0",,"Technology,0+(0.2*x)","ScienceFunding,0+(0.2*x),16","SpaceProgram,0+(0.2*x)","AsteroidMining,0+(0.2*x)","StemCells,0+(0.2*x),12",,#,"GDP,0+(0.05*x)","WorkerProductivity,0+(0.05*x)","TechnologyBackwater,-1.0-(0*x)",,,,,,,
#,TechnologyBackwater,Technology Backwater,"Our industry is based too much on old technology, and this is hurting our competitiveness abroad, and therefore affecting the countries GDP and wealth. We need to make some serious investment in technology and hi-tech skills if we are to lift our economy up to match our competitors.",PUBLICSERVICES,sit_icons_technologybackwater.dds,Our economy is outdated in terms of technology which is having a bad effect on our competitiveness.,"Great news! The center for technology and business has announced that our nation is no longer perceived as being 'backwards' in technological terms. This will be welcome news for the economy, as it opens up opportunities for technology investment.",0,0.6,0.4,0,0,"_default_,1.0","_NewColony,0-(x^4)",,"Technology,0-(0.2*x)","ScienceFunding,0-(0.2*x),16","SpaceProgram,0-(0.2*x)","AsteroidMining,0-(0.2*x)","StemCells,0-(0.2*x),12",,#,"GDP,0-(0.05*x)","WorkerProductivity,0-(0.05*x)","TechnologicalAdvantage,-1.0-(0*x)",,,,,,
#,Uncompetitive Economy,Uncompetitive Economy,"Our workers lack of relative productivity and competitiveness is causing our exports to fall and flooding our country with cheap imports made overseas, with lower wages, harder working and more technologically savvy employees. This is having a negative effect on our economy, as our local companies cannot compete globally.",ECONOMY,sit_icons_uncompetitiveeconomy.dds,Economic advisors are concerned by the lack of competitiveness of our companies in global markets.,The earlier problems of a lack of competitiveness by our companies has now subsided.,0,0.6,0.4,0,0,"_default_,0.8","_NewColony,0-(x^4)","CorporationTax,0+(0.2*x)","CapitalGainsTax,0+(0.2*x)","WorkerProductivity,0-(0.8*x)",#,"GDP,0-(0.34*x)^1.52","Capitalist,-0.04-(0.06*x)",, ,,,,,,,,,
#,VirtualRealityMarketLeader,Virtual Reality Market Leader,"With virtual reality tech startups on every corner, our country has reached the status of a world leader of VR. The military is excited about the new possibilities and the VR economy is booming.",ECONOMY,sit_icons_vrmarketleader.dds,"Tech companies are focusing on virtual reality. Head-mounted displays are finally state of the art in gaming, education, military training, data visualization and natural sciences. A host of new inventions triggers a golden age of VR.",Other countries have caught up and are starting to offer virtual reality technology at comparable rates.,1,0.6,0.4,0,0,"_default_,0",,"MilitarySpending,0+(0.5*x),4","Technology,-0.2+(0.4*x),6","InternetCensorship,0-(0.1*x),4",#,"Capitalist,0.05+(0.08*x)","WorkerProductivity,0.05+(0.05*x)","GDP,0+(0.06*x)",,,,,,,,,,
#,Watershortage,Water Shortage,"We depleted the rivers and aquifers supplying our nation with water, making it far more difficult to raise crops.",ECONOMY,sit_icons_watershortage.dds,Meteorologists have issued a warning that increases in the average temperature is leading to instabilities of the climate. Water shortages and droughts are the result of this development.,Meteorologists inform you that water supplies for your country are under control for now.,0,0.6,0.5,0,0,"_default_,0",,"_winning_,0+(0.2*x),8","_year,0+(0.01*x)","AverageTemperature,0+(0.4*x)","ClimateChangeAdaptionFund,0-(0.4*x)","GDP,0+(0.3*x),8","AgricultureSubsidies,0+(0.4*x),4","VerticalFarmSubsidies,0+(0.2*x),4","EcoHomeRegulations,0-(0.1*x),4","Recycling,0-(0.1*x),8","PollutionControls,0-(0.3*x),8","Desalination,0.1-(0.9*x),4",#,"FoodPrice,0+(1*x),4","Environmentalist_freq,0+(0.2*x),4",,,
