t,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,,,,
#,JuryTrial,Jury Trial,jurytrial,"Equality, Liberal;  The right to be tried by ordinary members of the public rather than a judge is seen as a fundamental human right by many liberals. Conservatives argue that such a process is expensive, time wasting and is no fairer than a judge or a group of magistrates. Its entirely possible to have a system where a jury trial is reserved for more serious offences, with minor trials presided over by a magistrate.",,10,2,1,1,LAWANDORDER,105,322,,1,0,0,,#Effects,"Equality,0.05+(0.05*x)","Liberal,0.05+(0.05*x)",,,,,,,,,,,,
#,PoliceDrones,Police Drones,default,"-CrimeRate, -ViolentCrimeRate, +_security_, -Liberal;  Unmanned aerial reconnaissance vehicles, similar to remote control planes which can be employed by the police force. The 'eye in the sky' is a useful way to keep track of mobs and rioters, and allows for subtle yet effective surveillance. The police see it as a vital tool for modern crime fighting, but there are concerns that this is a step further towards a big-brother style surveillance society where everyone is tracked.",,10,2,0,0,LAWANDORDER,500,1400,,4,0,0,,#Effects,"CrimeRate,-0.08-(0.05*x)","ViolentCrimeRate,0-(0.07*x)","_security_,0.03+(0.03*x)","Liberal,-0.2*(x^2)",,,,,,,,,,
#,SocialJusticeFoundation,Social Justice Foundation,default,"Equality, Liberalism;  This policy will establish a foundation that deals with the worries and problems of the poor and under-represented in our country. It will take away some of the worries these people have and gives them a better feeling of being included into society. It won't get them a better life directly, but at least some hope of a better future, and hope is very important to have.",,10,2,0,0,LAWANDORDER,30,100,,1,0,0,,#Effects,"Equality,0.03+(0.02*x)","_global_liberalism,0.03+(0.02*x),16",,,,,,,,,,,,
#,StampOutRacismWeek,Stamp Out Racism Week,default,"-RacialTension, Liberalism;  One week of the year will be dedicated to embrace cultural and racial diversity, aiming to reduce racial tension. This includes specials in the media, small food markets with delicacies from around the world, community meetings, celebrations and friendly competitions.",,10,2,1,1,LAWANDORDER,20,80,,1,0,0,,#Effects,"RacialTension,-0.03-(0.02*x),20","_global_liberalism,0.03+(0.02*x),16",,,,,,,,,,,,
#,PhoneTapping,Wire Tapping,phonetapping,"-Liberal, -CrimeRate, +_security_;  From a law and order perspective, wire tapping is an essential weapon in the fight against organized crime and terrorism. The problem is that it's difficult to prevent misuse of such a system, and liberals are keen to point out how widespread wire tapping is a very sinister sign of a police state.",,10,2,1,1,LAWANDORDER,10,300,,3,0,0,,#Effects,"Liberal,-0.5*(x^2)","CrimeRate,-0.05-(0.10*x),4","_security_,(0.075+0.1*x)",,,,,,,,,,,
#,WitnessProtectionProgram,Witness Protection Program,default,"-ViolentCrimeRate;  What good is catching a criminal if the witness to the crime disappears forever? Protecting these witnesses is of utmost importance for a working justice system, and the better it is, the more criminals get convicted and the more witnesses come forward if they see a crime.",,10,2,0,0,LAWANDORDER,40,160,,4,0,0,,#Effects,"ViolentCrimeRate,-0.03-(0.02*x)",,,,,,,,,,,,,
#,YouthClubSubsidies,Youth Club Subsidies,default,"-CrimeRate, Young;  Free youth clubs ensure that teenagers have a 'place to go' which can help them to stay out of trouble, and in the long run, reduce the incidence of street crime. It can be resented by some wealthier taxpayers, who see it as an unnecessary expense, paid for by their taxes.",,10,2,0,0,LAWANDORDER,12,220,,1,0,0,,#Effects,"CrimeRate,-0.03-(0.03*x),8","Young,0.03+(0.08*x)",,,,,,,,,,,,
#,AlcoholLaw,Alcohol Law,alcohollaw,"-AlcoholUse, DrugCrime,0.5*(x*AlcoholUse),4, Parents, -Young, Conservatives,0.2*(x^4), -Liberal, Religious;  An alcoholic beverage is a drink that contains a substantial amount of ethanol, a depressant which in low doses causes euphoria, sociability, and reduced anxiety. In higher doses alcohol causes intoxication, stupor and unconsciousness.",,15,5,1,1,LAWANDORDER,0,0,,1,0,0,,#Effects,"AlcoholUse,-0.05-(0.35*x),8","DrugCrime,0.5*(x*AlcoholUse),4","Parents,0.1+(0.05*x)","Young,-0.2-(0.1*x)","Conservatives,0.2*(x^4)","Liberal,-0.3*(x^4)","Religious,0+(0.2*x)",,,,,,,
#,CannabisLaw,Cannabis Law,cannabislaw,"-CannabisUse, DrugCrime,0.5*(x*CannabisUse),4, Parents, -Young, Conservatives,0.25*(x^4), -Liberal, Religious;  Marijuana is a psychoactive drug from the cannabis plant. Cannabis is often used for its mental and physical effects, such as a ""high"" or ""stoned"" feeling, a general change in perception, euphoria, and an increase in appetite. Short term side effects may include a decrease in short-term memory, dry mouth, impaired motor skills, red eyes, and feelings of paranoia or anxiety. Long term effects may include decreased mental ability in those who started as teenagers, and behavioral problems in children whose mothers used cannabis during pregnancy.",,15,5,1,1,LAWANDORDER,0,0,,1,0,0,,#Effects,"CannabisUse,-0.05-(0.35*x),8","DrugCrime,0.5*(x*CannabisUse),4","Parents,0.1+(0.05*x)","Young,-0.2-(0.1*x)","Conservatives,0.25*(x^4)","Liberal,-0.35*(x^4)","Religious,0+(0.1*x)",,,,,,,
#,DrugEnforcement,Drug Enforcement,drugenforcement,"-DrugCrime, -Unemployment, Liberal, -Conservatives;  Do we classify illegal drug users as criminals, or citizens who need help?",,15,5,1,1,LAWANDORDER,0,2000,"TobaccoUse,0+(0.2*x);AlcoholUse,0+(0.4*x);CannabisUse,0+(1.0*x)",1,0,0,,#Effects,"DrugCrime,-0.05-(2*x)","Unemployment,0-(x^4)*0.05,4","Liberal,0+(0.2*x)","Conservatives,0-(0.3*x)",,,,,,,,,,
#,Gambling,Legalize Gambling,default,"GDP, -CrimeRate, , Liberal, -Religious, Capitalist;  To some, gambling is a sin which leads to poverty and disaster, but others believe that some 'social' gambling is harmless fun which can also be taxed nicely by the government as an additional form of revenue. It also encourages tourism and creates jobs.",,15,5,1,1,LAWANDORDER,0,0,,3,0,0,,#Effects,"GDP,0.01+(0.04*x),6","CrimeRate,-0.1-(0.05*x),4",,"Liberal,0.02+(0.03*x)","Religious,0-(0.1*x)","Capitalist,0.01+(0.04*x)",,,,,,,,
#,LegaliseProstitution,Legalize Prostitution,default,"GDP, -CrimeRate, Health, Liberal, -Religious, -Conservatives;  Conservatives claim that the legalization of prostitution would mark a severe decline in family values. Others claim that as prostitution is unlikely to disappear, even if illegal, it's better for society and prostitutes that the practice is regulated and monitored rather than criminalized.",,15,5,1,1,LAWANDORDER,0,0,,1,0,0,,#Effects,"GDP,0.01+(0.04*x),6","CrimeRate,-0.1-(0.05*x),4","Health,0.01+(0.04*x),4","Liberal,0.05+(0.05*x)","Religious,-0.1-(0.3*x)","Conservatives,-0.1-(0.3*x)",,,,,,,,
#,TobaccoLaw,Tobacco Law,tobaccolaw,"-TobaccoUse, DrugCrime,0.5*(x*TobaccoUse),4, Parents, -Young, Conservatives,0.1*(x^4), -Liberal, Religious;  German scientists identified a link between tobacco smoking and lung cancer in the late 1920s, leading to the first anti-smoking campaign in modern history. British researchers later demonstrated a clear relationship between smoking and cancer. Evidence continued to mount in the 1980s, which prompted political action against the practice.",,15,5,1,1,LAWANDORDER,0,0,,1,0,0,,#Effects,"TobaccoUse,-0.05-(0.35*x),8","DrugCrime,0.5*(x*TobaccoUse),4","Parents,0.1+(0.05*x)","Young,-0.1-(0.05*x)","Conservatives,0.1*(x^4)","Liberal,-0.2*(x^4)","Religious,0+(0.1*x)",,,,,,,
#,CommunityPolicing,Community Policing,default,"-RacialTension, , -CrimeRate, -ViolentCrimeRate, Liberal, Liberalism;  Community policing encourages the police to better understand the needs of the local community, especially in areas with ethnic minorities. This reduces ethnic tension caused by police policies, and further reduces crime.",,20,5,2,2,LAWANDORDER,100,639,,5,0,0,,#Effects,"RacialTension,-0.2*(PoliceForce*x)",,,"CrimeRate,0-(0.05*x),4","ViolentCrimeRate,0-(0.03*x),4","Liberal,0+(0.1*x)","_global_liberalism,0+(0.1*x),8",,,,,,,
#,RaceDiscriminationAct,Anti-Discrimination Laws,antidiscrimination,"-RacialTension, GDP, EthnicMinorities, Liberal, Capitalist, -Conservatives, -Fearful;  Civil and political rights are a class of rights that protect individuals' freedom from infringement by governments, social organizations, and private individuals. They ensure one's ability to participate in the civil and political life of the society and state without discrimination or repression.",,25,5,2,2,LAWANDORDER,5,9,,1,0,0,,#Effects,"RacialTension,-0.15-(0.1*x),20","GDP,0.03+(0.02*x),6","EthnicMinorities,0.2+(0.1*x)","Liberal,0.1+(0.05*x)","Capitalist,0.05+(0.05*x)","Conservatives,-0.2*(x^4)","Patriot,0-(0.3*x)",,,,,,,
#,LegalAid,Legal Aid,default,"LowIncome, Poor, Liberal;  Not everyone has the money to pay a lawyer to defend themselves in court. Although a citizen could theoretically defend himself, providing state-employed lawyers should make for a fairer system. On the other hand, this is basically a big subsidy to people who have already been charged with a crime but remember they are innocent until proved guilty.",,25,5,2,2,LAWANDORDER,10,400,,1,0,0,,#Effects,"_LowIncome,0.02+(0.02*x)","Poor,0.05+(0.05*x)","Liberal,0.03+(0.02*x)",,,,,,,,,,,
#,ElectronicDirectDemocracy,Electronic Direct Democracy,directdemocracy,"+Everyone, -StateEmployees, -StateEmployees_freq, Liberal, Young, -Retired;  Electronic direct democracy is a form of  democracy that utilizes the internet to facilitate public participation. Liberals have been calling for it for decades but state employees are wary. The policy is also more popular with younger net-savvy voters than the elderly.",,35,10,2,2,LAWANDORDER,30,1000,"GDP,0.5+(0.5*x)",6,0,0,,#Effects,"_All_,0.0+(0.03*x)","StateEmployees,-0.025-(0.045*x)","StateEmployees_freq,0.0-(0.035*x),8","Liberal,0.05+(0.05*x)",,,,,,,,,,
#,FaithSchoolSubsidies,Faith School Subsidies,default,"Religious, Education, Religious_freq, RacialTension;  Religious schools can achieve good academic standards. Their supporters make a case  that the government should subsidize methods of education that are proven to be effective. Critics say that religion has no place in education and that the government cannot be seen to 'push' a particular religion on children.",,5,2,0,0,PUBLICSERVICES,180,1160,,1,0,0,,#Effects,"Education,0.05+(0.05*x)","Religious,0.1+(0.1*x)","Religious_freq,0.05+(0.2*x),30","RacialTension,0+(0*x),4","ForeignRelations,0-(0*x),4",,,,,,,,,
#,FreeParentingClasses,Free Parenting Classes,default,"Parents, Parents_freq;  Having a newborn child can be very taxing and exhausting for new parents. By introducing these free classes, parents can learn how to deal with this situation, how to raise their babies and have a normal life at the same time. It won't make the babies cry less, but it will make the parents more stress resistant and aware, plus they will meet other parents in the same situation.",,5,2,0,0,PUBLICSERVICES,40,225,,4,0,0,,#Effects,"Parents,0.02+(0.03*x)","Parents_freq,0+(0.03*x),24",,,,,,,,,,,,
#,SchoolPrayers,School Prayers,schoolprayers,"Religious, -Liberal, Religious_freq,0.4*(x^2),16, RacialTension;  Liberals will often argue that the education of our younger citizens should be kept entirely separate from any religious teachings. On the other hand, it's argued that some compulsory prayer in schools is a way of promoting moral values in our children.",,5,5,1,1,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.1+(0.1*x)","Liberal,-0.05-(0.05*x)","Religious_freq,0.4*(x^2),16","RacialTension,0.1+(0.1*x),4",,,,,,,,,,
#,YouthPoliticsCouncil,Youth Politics Council,default,"Young;  In any democracy it is of utmost importance to teach our kids how politics work and what can be achieved through it. By establishing Youth Politics Councils, youths can get first hand experience on a local and regional level, see that they can make a difference and perhaps the leaders of tomorrow are being recruited here.",,5,2,0,0,PUBLICSERVICES,40,120,,1,0,0,,#Effects,"Young,0.01+(0.04*x)",,,,,,,,,,,,,
#,RoboticsResearch,Robotics Research Grants,default,"IndustrialAutomation,0.3*(x^1.2),16, Technology, -TradeUnionist;  A special grant to encourage research in robotics. Robotics is a very long term area of research which will eventually bring about vast boosts in productivity, but at the same time it will reduce the amount of low or semi-skilled jobs in the economy, and thus potentially lead to higher unemployment.",,10,2,1,1,PUBLICSERVICES,100,2100,,1,0,0,,#Effects,"IndustrialAutomation,0.3*(x^1.2),16","Technology,0.01+(0.06*x),16","TradeUnionist,-0.06-(0.1*x)",,,,,,,,,,,
#,SchoolCredit,School Tax Credits,default,"PrivateSchools, -PovertyRate, LowIncome,0.1*(PrivateSchools*x), MiddleIncome,0.05*(PrivateSchools*x), Poor,0.2*(PrivateSchools*x), MiddleClass,0.1*(PrivateSchools*x), -Socialist, Capitalism;  Poor Income, Middle Income. A system of tax-reductions and credits designed to encourage people to spend their money on private education. This boosts private schooling without involving the State running schools or employing teachers.",,10,2,1,1,PUBLICSERVICES,500,5000,"PrivateSchools,0+(1.0*x)",1,0,0,,#Effects,"PrivateSchools,0.1+(0.1*x),2","PovertyRate,-0.1*(PrivateSchools*x)","_LowIncome,0.1*(PrivateSchools*x)","_MiddleIncome,0.05*(PrivateSchools*x)","Poor,0.2*(PrivateSchools*x)","MiddleIncome,0.1*(PrivateSchools*x)","Socialist,-0.01-(0.09*x)","_global_socialism,-0.05-(0.05*x),20",,,,,,
#,AdultEducationSubsidies,Adult Skill Training,default,"Education, WorkerProductivity;  Adult education subsidies are a way to encourage people to re-train and continue their education after they have joined the workforce. This includes evening classes and distance learning resources. These schemes help to raise the overall educational level of the workforce.",,15,5,1,1,PUBLICSERVICES,160,300,,1,0,0,,#Effects,"Education,0.04+(0.04*x),4","WorkerProductivity,0.02+(0.02*x),4","Capitalist,0.05+(0.05*x)",,,,,,,,,,,
#,ArtsSubsidies,Arts Subsidies,artssubsidies,"Tourism, Education, ForeignRelations, -Unemployment, -Conservatives, Liberal, Liberalism;  Investing public money in the arts is controversial with capitalists who see it as supporting uneconomic elitist entertainment, but others see it as vital to a countries culture, boosting our image on the world stage, and attracting tourists.",,15,5,1,1,PUBLICSERVICES,50,575,,4,0,0,,#Effects,"Tourism,0+(0.20*x),24","Education,0+(0.03*x),16","ForeignRelations,0+(0.07*x),32","Unemployment,0-(0.01*x)","Conservatives,-0.05-(0.15*x)","Liberal,0.01+(0.04*x)","_global_liberalism,0+(0.1*x),16",,,,,,,
#,PublicLibraries,Public Libraries,default,"Education, Equality, LowIncome, Poor, Retired;  Public libraries provide a number of services, acting as a focus for communities, providing access to information and literature to those on low incomes, and enabling people to learn new skills outside the normal educational establishment.",,15,2,1,1,PUBLICSERVICES,50,800,,4,0,0,,#Effects,"Education,0.04+(0.04*x),4","Equality,0.05+(0.05*x),4","_LowIncome,0.02+(0.01*x)","Poor,0.05+(0.05*x)","Retired,0.03+(0.03*x)",,,,,,,,,
#,ScienceFunding,Science Funding,sciencefunding,"Technology, EnergyEfficiency, GDP, StateEmployees, StateEmployees_freq, -Unemployment, -Capitalist;  In some countries, the majority of research is funded by private companies. State-sponsored science can be useful for investing in very long-term research projects or those that may not be commercially rewarding. The benefits of state sector research are freely available to the entire population, rather than patented by corporations.",,15,5,1,1,PUBLICSERVICES,85,500,,4,0,0,,#Effects,"Technology,0+(0.2*x),16","EnergyEfficiency,0.15+(0.05*x),12","GDP,0.08+(0.02*x),20","StateEmployees,0+(0.1*x)","StateEmployees_freq,0.01+(0.04*x)","Unemployment,0-(0.03*x)","Capitalist,0.05-(0.15*x)",,,,,,,
#,TechnologyGrants,Technology Grants,default,"Technology, -Unemployment, GDP, WorkerProductivity, Capitalist;  The government can provide state funding to encourage business to invest in new and exciting technologies. Although this helps give us a competitive advantage and can create jobs, it can be argued that its an unnecessary distortion of the market.",,15,5,1,1,PUBLICSERVICES,450,4600,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"Technology,0.08+(0.07*x),12","Unemployment,0.00-(0.05*x),6","GDP,0.0+(0.02*x),16","WorkerProductivity,0.00+(0.07*x),8","Capitalist,0.03+(0.08*x)",,,,,,,,,
#,UniversityGrants,University Grants,universitygrants,"Education, StateEmployees, MiddleIncome, LowIncome, Parents, Young, Young_income;  Although not all citizens will pursue a university education, governments can provide subsidies to students to encourage a more educated workforce. University grants also ensure equality of opportunity, as in their absence the cost of a university education can be beyond the reach of working class families.",,15,5,1,1,PUBLICSERVICES,200,2600,,1,0,0,,#Effects,"Education,0.00+(0.25*x),16","StateEmployees,0.00+(0.18*x)","_MiddleIncome,0+(0.06*x)","_LowIncome,0+(0.06*x)","Parents,0.05+(0.05*x)","Young,0.04+(0.17*x)","Young_income,0.08+(0.12*x)",,,,,,,
#,SpaceProgram,Space Program,spaceprogram,"Technology, -Unemployment, StateEmployees_freq, StateEmployees, +Everyone;  Invest in your country's efforts to explore space! As well as the purely scientific benefits, a well-funded space program will boost the level of technological expertise throughout the entire economy. It will also unite the country and encourage Fearfulism.",,30,10,2,2,PUBLICSERVICES,100,5000,"_default_,1.0;Technology,0-(0.75*x)",16,0,0,,#Effects,"Technology,0.2+(0.2*x),16","Unemployment,-0.05-0.2*(x^4)","StateEmployees_freq,0.05+(0.1*x)","StateEmployees,0.01+(0.09*x)","_All_,0.05+0.25*(x^2)",,,,,,,,,
#,AsteroidMining,Asteroid Mining,asteroidmining,"Technology, IndustrialAutomation, -Unemployment, StateEmployees, +Everyone, -Rareearthcrisis;  Asteroids contain metals rare on earth, such as platinum, potentially worth trillions of dollars. Technology reduces the cost of this policy, while industrial automation drastically increases income.",,35,10,2,2,PUBLICSERVICES,500,20000,"_default_,1.0;Technology,0-(0.9*x)",16,0,100000,"_default_,1.0;IndustrialAutomation,-1+(x^10)",#Effects,"Technology,0.2+(0.1*x),16","IndustrialAutomation,0.2+(0.1*x),16","Unemployment,-0.02-(0.03*x)","_HighIncome,0+(0.5*x),16","Rareearthcrisis,-1*(x^0.5)",,,,,,,,,
#,HumanCloningResearchGrants,Human Cloning Research Grants,default,"-Religious, -Conservatives, Wealthy, -Health, Technology;  Stem cell research was just the first step. Human cloning is around the corner and our country can be on the forefront of this groundbreaking development. The religious are enraged, but rich prospective parents hope to make the dream of replicating themselves true.",,35,10,2,2,PUBLICSERVICES,450,5700,,5,0,0,,#Effects,"Religious,-0.12-0.62*(x^2.2)","Conservatives,-0.12-(0.14*x)","Wealthy,0.1+(0.13*x)","Health,-0.01-(0.02*x),5","Technology,0.02+(0.04*x),12",,,,,,,,,
#,StemCells,Stem Cell Research,default,"GDP, -Conservatives, Health, Technology;  A stem cell is a primitive type of cell that can be developed into most of the types of cells found in the human body. Some scientists claim that stem cell research offers great hope for curing diseases such as diabetes and multiple sclerosis. However, because stem cells are taken from discarded human embryos, many 'pro-life' and religious groups oppose their usage.",,35,10,2,2,PUBLICSERVICES,20,160,,4,0,0,,#Effects,"GDP,0.03+(0.03*x),22","Conservatives,0-(0.2*x)","Health,0.02+(0.02*x),16","Technology,0.03+(0.03*x)",,,,,,,,,,
#,StateSchools,State Schools,stateschools,"Education, -Unemployment, LowIncome, StateEmployees_freq, StateEmployees_income, StateEmployees, Poor, Socialist, Socialism;  Free education for all ensures high levels of literacy and can be beneficial to the economy, especially those parts of the economy requiring a skilled workforce. The flipside of this is that state education can be expensive for the government. Wealthy individuals, not making use of state schools, may resent subsidizing them.",,40,10,2,2,PUBLICSERVICES,1000,10000,,11,0,0,,#Effects,"Education,0.1+(0.3*x),8","Unemployment,0-(0.2*x)","RacialTension,-0.05-(0.15*x),8","_LowIncome,0.1+(0.05*x),8","Poor,0.2+(0.1*x)","StateEmployees_freq,0+(0.1*x)","StateEmployees_income,0+(0.09*x)","StateEmployees,0.05+(0.05*x)","Capitalist,-0.05-(0.05*x)","Socialist,0.05+(0.05*x)","_global_socialism,0.05+(0.05*x),12",,,
#,CharityTaxBreaks,Charity Tax Breaks,default,"Charity, LowIncome, MiddleIncome, LowIncome, Religious, Religious_freq,0.1*(x^4),30;  Individuals can deduct charitable donations from their tax burden, and recognized charitable and religious organizations pay fewer or no taxes.",,5,2,0,0,TAX,20,800,"Charity,0+(1*x)",1,0,0,,#Effects,"Charity,0.05+(0.05*x),4","_LowIncome,0.02+(0.02*x)","_MiddleIncome,0.01+(0.02*x)","_HighIncome,0.01+(0.03*x)","Religious,0.1+(0.2*x)","Religious_freq,0.1*(x^4),30",,,,,,,,
#,MortgageTaxRelief,Homeowner Tax Relief,default,"MiddleIncome,0.1*(PrivateHousing*x), MiddleClass;  This allows people to claim tax relief on the interest payments they have to make when they borrow money to buy a house. This helps homebuyers to afford their mortgage payments, but can be resented by those who are not in a position to buy a house, as it is effectively a tax break for homebuyers.",,5,2,0,0,TAX,200,920,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"_MiddleIncome,0.1*(PrivateHousing*x)","MiddleIncome,0.15+(0.15*x)",,,,,,,,,,,,
#,MarriedTaxAllowance,Married Tax Allowance,marriedtax,"Religious, Conservatives, Parents, Conservatism;  This is a tax break for married couples, given as an encouragement for people to marry and also to stick together. Church groups see it as essential that the state encourages traditional family values. Some see it as religion meddling in the tax system for no good reason.",,5,2,0,0,TAX,100,5200,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"Religious,0.05+(0.05*x)","Conservatives,0.02+(0.03*x)","Parents,0.1+(0.1*x)","_global_liberalism,-0.04-(0.04*x),12",,,,,,,,,,
#,TaxShelters,Tax Shelters,default,"HighIncome, GDP, InternationalTrade, -ForeignRelations, Wealthy, -Socialist;  By not fully taxing the wealth of the super-rich, tax shelters can be a great way to encourage successful entrepreneurs to make our country their home. With an ever-shrinking world, the rich are free to settle wherever they please. encouraging them to live here may mean that they spend their wealth in this country. Such measures can be very unpopular with the poor, who resent paying tax on their much lower earnings.",,5,2,0,0,TAX,100,400,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"_HighIncome,0.05+(0.15*x)","GDP,0.05+(0.05*x),8","InternationalTrade,0.05+(0.05*x)","ForeignRelations,-0.1*(x^4)","Wealthy,0.25+(0.25*x)","Socialist,-0.10-(0.10*x)",,,,,,,,
#,AlcoholTax,Alcohol Tax,tax,"-AlcoholUse, PovertyRate,0.075*(AlcoholUse*x), -LowIncome, -MiddleIncome;  Medically there is a clear case for the government to tax alcohol in order to discourage consumption because of its negative effects on health and its possible links to social breakdown. On the other hand, those who drink socially see the government benefiting from such a tax to be hypocritical.",,10,2,1,1,TAX,0,0,,1,0,8050,"AlcoholUse,0+(1.0*x)",#Effects,"AlcoholUse,0-(0.1*x),8","PovertyRate,0.075*(AlcoholUse*x)","_LowIncome,-0.075*(AlcoholUse*x)","_MiddleIncome,-0.025*(AlcoholUse*x)",,,,,,,,,,
#,CannabisTax,Cannabis Tax,tax,"-CannabisUse, PovertyRate,0.075*(CannabisUse*x), -LowIncome, -MiddleIncome;  In societies that have legalized CannabisLaw such as Cannabis, there is a temptation to treat consumption of these drugs as a source of government revenue, given the claims that their consumption should be politely discouraged due to the negative effects on citizens health, in a similar way to governments taxing alcohol or tobacco.",,10,2,1,1,TAX,0,0,,1,0,5200,"CannabisUse,0+(1.0*x)",#Effects,"CannabisUse,0-(0.1*x),8","PovertyRate,0.075*(CannabisUse*x)","_LowIncome,-0.075*(CannabisUse*x)","_MiddleIncome,-0.025*(CannabisUse*x)",,,,,,,,,,
#,TobaccoTax,Tobacco Tax,tax,"-TobaccoUse, PovertyRate,0.075*(TobaccoUse*x), -LowIncome, -MiddleIncome;  Despite the failure of tobacco companies to admit it, there is good reason to believe that smoking has negative effects on health. This is used as a justification for taxing tobacco. Cynics point out that the government benefits hugely from a tax on a product it is supposedly against. Health campaigners encourage the tax as a way to encourage a more healthy population",,10,2,1,1,TAX,0,0,,1,115,8418,"TobaccoUse,0+(1.0*x)",#Effects,"TobaccoUse,0-(0.1*x),8","PovertyRate,0.075*(TobaccoUse*x)","_LowIncome,-0.075*(TobaccoUse*x)","_MiddleIncome,-0.025*(TobaccoUse*x)",,,,,,,,,,
#,AutomationTax,Automation Tax,tax,"-IndustrialAutomation, -HighIncome, -Capitalist, TradeUnionist, CorporateExodus, BrainDrain;  Technological innovation has led to brilliant inventions. The dark side of industrial automation is that it is leading to job loss. Less jobs mean less income tax. To make up for the loss in state income, the economy ministry has designed an automation tax, to be paid by the most advanced companies.",,15,5,1,1,TAX,0,0,,1,150,7400,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x);IndustrialAutomation,0.05+(0.95*x)",#Effects,"IndustrialAutomation,-0.05-(0.15*x)","_HighIncome,0-(0.05*x)","Capitalist,0-(0.1*x)","TradeUnionist,0+(0.1*x)","CorporateExodus,0.05+(0.1*x)","BrainDrain,0.02+(0.08*x)",,,,,,,,
#,InternetCurrencyTaxation,Internet Currency Taxation ,tax,"-Capitalist, -Liberal, -Liberal_income, -SelfEmployed_income, -SelfEmployed;  More and more commerce is handled in cryptocurrencies. To cover the cost of tax evasion and tie the new currencies to the fiscal system, rules and taxation are required. An internet currency tax reduces the income of everyone trading in cryptocurrencies, mostly self-employed and small companies.",MULTIPLYINCOME,15,5,1,1,TAX,0,0,,1,150,5000,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.1*x);InternetCurrencyAdoption,0.0+(1*x)",#Effects,"Capitalist,0-(0.05*x)","Liberal,-0.1-(x^5)","Liberal_income, -0.05-(0.03*x),4","SelfEmployed_income,-0.05-(0.07*x),4","SelfEmployed,-0.03-(0.04*x)",,,,,,,,,
#,SalesTax,Sales Tax,salestax,"-LowIncome, -MiddleIncome, -HighIncome, PovertyRate, -SelfEmployed, -Capitalist;  Sales tax is the classic 'regressive' tax, which means it does not take into account the ability to pay. Critics argue that this affects the poor disproportionately and thus increases inequality. Supporters argue that it is relatively easy to collect and affects everyone, and is thus fair. Businesses can be opposed to the administrative burden of the tax.",MULTIPLYINCOME,15,5,1,1,TAX,0,0,,1,575,61732,"GDP,0.75+(0.25*x);TaxEvasion,1.0-(0.05*x)",#Effects,"_LowIncome,0-(0.3*x)","_MiddleIncome,0-(0.2*x)","_HighIncome,0-(0.1*x)","PovertyRate,0+(0.3*x)","SelfEmployed,0.00-(0.21*x)","Capitalist,0.00-(0.15*x)",,,,,,,,
#,CapitalGainsTax,Capital Gains Tax,capgains,"-HighIncome, -Wealthy, -SelfEmployed_income, -SelfEmployed, -SelfEmployed_freq, -GDP, -Capitalist, Socialist;  CGT is a tax levied on non-salary income such as stock market profits and share dividends, and profits from selling property or other assets. Primarily it affects the wealthy and business owners, and will raise more money if the economy is booming. Because it taxes profits from investments, it also acts as a slight deterrent to investment and thus be detrimental to the economy.",MULTIPLYINCOME,20,5,2,2,TAX,0,0,,1,400,9022,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.5*x)",#Effects,"_HighIncome,-0.25*(GDP*x)","Wealthy,-0.5*(GDP*x)","SelfEmployed_income,0-(0.10*x)","SelfEmployed,0-(0.1*x)","SelfEmployed_freq,0-(0.05*x),4","GDP,-0.01-(0.04*x),4","Capitalist,-0.05-(0.25*x)","Socialist,0+(0.1*x)",,,,,,
#,LuxuryGoodsTax,Luxury Goods Tax,luxtax,"-HighIncome, -Wealthy, Socialist, -Capitalist;  A tax aimed specifically at the high spenders in our society. A surcharge is added to high value luxuries such as sports cars, private yachts etc. Although it is never a vast source of income, a luxury goods tax can be popular with those people concerned with the gap between rich and poor. A luxury goods tax could encourage high earners to live and work elsewhere.",,25,5,2,2,TAX,0,0,,1,115,8137.4,"_HighIncome,0.05+(0.95*x);TaxEvasion,1.0-(0.4*x)",#Effects,"_HighIncome,0.01-(0.14*x)","Wealthy,0.05-(0.2*x)","Socialist,0+(0.4*x)","Capitalist,0-(0.08*x)",,,,,,,,,,
